RowNumber	CustomerId	CreditScore	Geography	Gender	Age	Tenure	Balance	HasCrCard	IsActiveMember	EstimatedSalary	Exited	NumOfProducts	Surname	Linear Regression	Random Forest
5654.0	15569764.0	687.0	Germany	Female	41.0	2.0	154007.21	1	0	158408.23	0	1.0	Garner	1.4522865963631384	1.0333333333333334
4000.0	15665062.0	696.0	France	Male	19.0	1.0	110928.51	1	1	2766.63	0	1.0	Lucchese	1.3230655219308411	1.025
6034.0	15759966.0	612.0	Spain	Female	36.0	5.0	119799.27	1	0	159416.58	0	2.0	Chiemenam	1.4158230629239288	1.4777777777777776
583.0	15576352.0	586.0	Spain	Female	57.0	3.0	0.0	0	1	6057.81	0	2.0	Revell	1.7307290913174362	1.9949999999999999
9931.0	15713604.0	425.0	Germany	Male	40.0	9.0	166776.6	0	1	172646.88	0	2.0	Rossi	1.4195199499785929	1.55
7052.0	15596797.0	643.0	Spain	Male	43.0	1.0	0.0	1	1	145764.4	0	2.0	Barnet	1.748072604424386	1.6716666666666669
8159.0	15744127.0	641.0	France	Female	37.0	2.0	0.0	1	0	3939.87	0	2.0	Kosovich	1.7586411438899	1.8333333333333335
9897.0	15589420.0	795.0	France	Female	40.0	2.0	101891.1	1	1	183044.86	0	1.0	Osinachi	1.452728581523645	1.0333333333333332
2250.0	15727546.0	762.0	France	Male	35.0	9.0	0.0	1	1	43075.7	0	2.0	Olejuru	1.7124653399938845	2.0
4641.0	15696373.0	687.0	France	Female	44.0	9.0	0.0	0	0	103042.2	1	2.0	Gill	1.7346862839724693	1.6716666666666669
9486.0	15656319.0	850.0	Spain	Male	37.0	4.0	88141.1	1	0	109659.12	0	1.0	Toscano	1.4685973550647915	1.4133333333333333
4948.0	15670354.0	753.0	France	Female	62.0	6.0	0.0	1	1	136398.9	0	2.0	Jen	1.7737577726259834	2.0
9921.0	15673020.0	678.0	France	Female	49.0	3.0	204510.94	0	1	738.88	1	1.0	Smith	1.018645896041446	1.5333333333333334
1964.0	15771139.0	578.0	Germany	Male	34.0	8.0	147487.23	1	0	66680.77	0	2.0	Douglas	1.427914810566568	1.8666666666666665
8244.0	15572174.0	825.0	France	Male	29.0	3.0	148874.01	0	1	71192.82	0	2.0	Mazzi	1.2348263716231818	1.7133333333333334
6591.0	15674868.0	696.0	Spain	Female	30.0	0.0	0.0	1	1	9002.8	0	2.0	Wei	1.746711022980659	1.8599999999999999
8848.0	15630244.0	457.0	France	Male	40.0	10.0	134320.23	1	0	150757.35	0	2.0	Chu	1.317275340260595	1.825
322.0	15678910.0	680.0	France	Female	30.0	8.0	141441.75	1	1	16278.97	0	1.0	Ts'ai	1.2544780344070283	1.1166666666666667
2679.0	15767793.0	819.0	France	Female	38.0	10.0	0.0	1	0	30498.7	0	2.0	Hsu	1.758705354244228	1.86
4626.0	15695499.0	510.0	France	Female	45.0	10.0	103821.47	0	1	77878.62	0	2.0	Chinwemma	1.4292137354268903	1.7
4950.0	15786717.0	567.0	France	Male	36.0	1.0	0.0	0	0	8555.73	0	2.0	He	1.7348832476579688	1.825
8329.0	15687171.0	638.0	Spain	Male	34.0	5.0	146679.77	1	0	102179.86	0	1.0	Birch	1.2721891520938462	1.2
3338.0	15647385.0	579.0	Spain	Male	56.0	4.0	99340.83	0	0	4523.74	1	1.0	Ch'iu	1.333568288918807	1.2166666666666666
5590.0	15588372.0	715.0	Germany	Female	37.0	9.0	105489.31	0	0	143096.49	1	1.0	Kirsova	1.5727875732528798	1.2999999999999998
252.0	15753754.0	587.0	Spain	Female	34.0	1.0	0.0	1	1	97932.68	0	2.0	Morrison	1.765718290790696	1.9
3974.0	15669281.0	711.0	Spain	Male	38.0	3.0	128718.78	0	0	114793.45	0	1.0	Ch'iu	1.3333932599374834	1.1
6631.0	15726960.0	741.0	France	Female	36.0	3.0	0.0	1	1	89804.83	0	2.0	O'Brien	1.770395846613008	1.9
5548.0	15713845.0	688.0	France	Male	38.0	7.0	148045.68	1	0	175479.92	1	1.0	Merrett	1.2190400760576336	1.55
36.0	15794171.0	475.0	France	Female	45.0	0.0	134264.04	1	0	27822.99	1	1.0	Lombardo	1.2399798209390807	1.4183333333333332
8363.0	15751912.0	567.0	France	Male	36.0	7.0	0.0	0	1	3896.08	0	2.0	Lilly	1.7341883101551803	1.8199999999999998
1514.0	15729040.0	440.0	France	Male	42.0	2.0	0.0	1	0	49826.68	0	2.0	Lamb	1.717179906163643	2.0
9318.0	15585249.0	741.0	France	Male	42.0	6.0	106036.52	1	0	194686.78	1	1.0	Mironova	1.3605877269781244	1.28
40.0	15585768.0	582.0	Germany	Male	41.0	6.0	70349.48	0	1	178074.04	0	2.0	Cameron	1.6960262807649158	1.5642857142857143
4820.0	15683157.0	613.0	France	Male	26.0	4.0	100446.57	0	1	149653.81	0	1.0	Waring	1.4252486978766228	1.225
3466.0	15763704.0	692.0	Germany	Female	43.0	2.0	69014.49	0	0	164621.43	0	2.0	Docherty	1.7680112733844369	1.6416666666666664
1761.0	15701121.0	521.0	France	Male	38.0	5.0	110641.18	0	1	136507.69	1	1.0	Holt	1.3220187289652638	1.225
2305.0	15680141.0	759.0	Spain	Female	35.0	7.0	147936.42	1	1	106785.7	0	1.0	Yuan	1.2763513047544517	1.1333333333333333
3724.0	15710978.0	715.0	Germany	Male	42.0	2.0	88120.97	1	1	21333.22	0	2.0	Palerma	1.5952902071464348	1.85
8285.0	15701741.0	711.0	France	Female	39.0	3.0	152462.79	1	0	90305.97	0	1.0	Williams	1.273231703546335	1.1
4994.0	15728912.0	554.0	France	Female	44.0	6.0	92436.86	1	0	126033.9	0	1.0	Swanson	1.480136414547682	1.0
8128.0	15623063.0	651.0	Germany	Male	35.0	8.0	110067.71	1	0	127678.95	1	1.0	Taylor	1.5153589100365112	1.2333333333333334
3033.0	15800061.0	495.0	Spain	Female	45.0	3.0	89158.94	1	0	135169.76	1	3.0	Moretti	1.4462332997251817	2.525
7939.0	15807305.0	805.0	France	Male	39.0	2.0	0.0	0	0	166650.32	0	1.0	Watkins	1.7967241733317412	1.4183333333333332
3040.0	15666141.0	829.0	Spain	Female	26.0	8.0	101440.36	1	1	19324.5	0	2.0	Baldwin	1.405531159306748	1.7008333333333332
9656.0	15668971.0	583.0	France	Female	40.0	4.0	55776.39	1	0	26920.43	0	2.0	Nicholson	1.5768043854854168	1.5433333333333334
2546.0	15687130.0	686.0	France	Female	43.0	0.0	0.0	1	1	170072.9	0	1.0	Nkemjika	1.7764676063425109	1.1
2593.0	15658956.0	505.0	Germany	Male	40.0	6.0	47869.69	1	1	155061.97	0	2.0	Tuan	1.7658955540786967	1.8
1189.0	15639882.0	528.0	France	Male	30.0	2.0	128262.72	1	0	50771.16	0	2.0	She	1.2788355814079058	1.655
7967.0	15750574.0	677.0	Spain	Female	34.0	4.0	0.0	1	1	6175.53	0	2.0	Lumholtz	1.7613206794444376	2.02
6078.0	15738588.0	660.0	Germany	Female	37.0	2.0	133200.09	0	0	71433.88	0	1.0	Nebechi	1.5295701131070587	1.1333333333333333
108.0	15812878.0	785.0	Germany	Female	36.0	2.0	99806.85	0	1	36976.52	0	1.0	Parsons	1.6110927297477589	1.2130952380952382
1316.0	15734634.0	607.0	Spain	Female	27.0	5.0	100912.19	0	0	7631.27	0	1.0	Bocharova	1.4283164790963976	1.0666666666666669
8188.0	15771674.0	603.0	Spain	Female	39.0	5.0	162390.52	1	0	54702.66	0	2.0	Ma	1.2480180295863417	1.3783333333333334
2754.0	15774491.0	480.0	France	Female	28.0	6.0	0.0	0	0	48131.92	0	2.0	Ross	1.777882706416945	1.8166666666666669
9754.0	15705174.0	656.0	Germany	Male	68.0	7.0	153545.11	1	1	186574.68	0	1.0	Chiedozie	1.4486506848407303	1.1600000000000001
6232.0	15729238.0	631.0	Germany	Male	48.0	1.0	106396.48	1	1	150661.42	1	1.0	Peng	1.526182838714473	1.0333333333333332
2877.0	15585284.0	604.0	Spain	Female	35.0	7.0	147285.52	1	1	57807.05	0	1.0	Thomson	1.2537899364657077	1.1066666666666667
5324.0	15569264.0	622.0	France	Male	32.0	5.0	179305.09	1	1	149043.78	0	1.0	Yobanna	1.1361658322458033	1.075
800.0	15567367.0	601.0	Germany	Female	42.0	9.0	133636.16	0	1	103315.74	0	1.0	Tao	1.497434764470016	1.55
3571.0	15706005.0	674.0	France	Male	46.0	2.0	174701.05	1	0	90189.72	1	1.0	Roberts	1.0920410136502412	1.175
2895.0	15644119.0	531.0	France	Male	31.0	3.0	0.0	1	1	42589.33	0	1.0	Sochima	1.7008870308378783	1.3059523809523808
2928.0	15669656.0	632.0	France	Male	32.0	6.0	111589.33	1	1	170382.99	0	1.0	Macdonald	1.3741353162705832	1.1433333333333333
8179.0	15809654.0	707.0	France	Female	46.0	7.0	127476.73	1	1	146011.55	0	2.0	Hsia	1.3793012642119789	1.7333333333333336
972.0	15801488.0	723.0	France	Male	25.0	3.0	0.0	1	1	134509.47	0	2.0	Buckner	1.7429053690741843	2.0
6688.0	15662908.0	795.0	Germany	Male	38.0	7.0	125903.22	1	1	127068.92	0	2.0	Davidson	1.5098237592439	1.7666666666666664
8576.0	15690175.0	585.0	Spain	Male	45.0	0.0	0.0	0	0	189683.7	0	2.0	Ball	1.800562000912275	1.7333333333333332
2021.0	15565779.0	627.0	Germany	Female	30.0	6.0	57809.32	1	0	188258.49	0	1.0	Kent	1.7751034679377131	1.2333333333333334
9055.0	15617476.0	546.0	France	Female	30.0	5.0	0.0	0	1	198543.09	0	2.0	Manfrin	1.8157771134581946	2.0
953.0	15606149.0	571.0	Germany	Female	66.0	9.0	111577.01	0	1	189271.9	0	1.0	Wood	1.601670367799425	1.1783333333333332
5360.0	15801832.0	684.0	Germany	Male	42.0	1.0	117691.0	1	1	23135.65	1	1.0	Lombardo	1.4541539911489774	1.15
3858.0	15805025.0	636.0	France	Female	45.0	7.0	139859.23	1	1	108402.54	0	1.0	Oster	1.3126655829514218	1.09
5862.0	15713819.0	562.0	France	Male	48.0	3.0	92347.96	1	1	163116.75	0	1.0	Walsh	1.4468243605236535	1.0
3146.0	15775590.0	482.0	Germany	Female	48.0	2.0	69329.47	0	0	102640.52	1	1.0	Mackay	1.6896911488578077	1.5899999999999999
3306.0	15574072.0	786.0	France	Female	62.0	8.0	0.0	1	1	165702.64	0	1.0	Ch'ien	1.7682695157096822	1.3166666666666667
3007.0	15720943.0	747.0	France	Female	45.0	1.0	114959.12	1	0	189362.39	1	1.0	Pirozzi	1.3565075055803895	1.0
9002.0	15733111.0	688.0	Spain	Male	32.0	6.0	124179.3	1	1	138759.15	0	1.0	Yeh	1.3574657212835326	1.0333333333333332
7771.0	15809509.0	699.0	France	Male	29.0	3.0	125689.29	1	1	151623.71	0	1.0	Venables	1.3500112632912193	1.0333333333333332
7439.0	15676156.0	528.0	France	Female	32.0	4.0	85615.66	1	0	156192.43	0	2.0	Boyle	1.513176373592478	1.75
7943.0	15661409.0	542.0	France	Female	42.0	1.0	0.0	1	1	178256.58	1	1.0	Shen	1.7353455510427065	1.1285714285714286
9239.0	15639133.0	773.0	France	Female	50.0	4.0	0.0	1	0	129372.94	0	2.0	Ku	1.7898151368570188	1.9673809523809525
1057.0	15798521.0	675.0	Spain	Male	33.0	3.0	0.0	1	0	45348.08	0	2.0	Tai	1.7333728019677248	1.8666666666666667
3155.0	15609637.0	652.0	France	Male	51.0	7.0	0.0	0	1	43496.36	0	2.0	Nkemakolam	1.7133404476116882	2.0
3788.0	15644174.0	638.0	Germany	Male	27.0	4.0	135096.05	1	1	186523.72	1	1.0	Marchesi	1.4281671657973452	1.0
9190.0	15793723.0	607.0	Germany	Male	32.0	9.0	144272.07	1	0	176580.63	0	2.0	Ch'iu	1.4987434497768117	1.9
7826.0	15802758.0	594.0	Germany	Female	23.0	4.0	104753.84	1	0	56756.52	1	2.0	Chinwendu	1.562973690038141	1.95
7540.0	15609987.0	755.0	France	Male	42.0	2.0	119919.12	1	0	156868.21	0	1.0	Smith	1.3548451121474623	1.0
7232.0	15607986.0	555.0	France	Male	40.0	10.0	139930.18	1	1	105720.09	0	1.0	Nnamutaezinwa	1.2670452418788898	1.1333333333333333
765.0	15672056.0	710.0	Germany	Male	43.0	2.0	140080.32	1	1	157908.19	1	3.0	Kenenna	1.3939538946830634	1.9333333333333336
5020.0	15584113.0	823.0	Germany	Female	53.0	4.0	124954.94	0	1	131259.6	1	1.0	Pratt	1.487441458907448	1.0
4904.0	15628530.0	694.0	France	Male	42.0	3.0	156864.2	0	0	88890.75	0	2.0	Booth	1.2191732343319874	1.875
8094.0	15779267.0	584.0	France	Male	47.0	5.0	0.0	1	0	89286.29	0	2.0	Onyemere	1.7569100576123244	2.0
6844.0	15611171.0	740.0	France	Male	33.0	1.0	129574.98	1	1	123300.38	0	1.0	Fowler	1.300356431546844	1.06
2166.0	15585041.0	511.0	France	Male	33.0	7.0	0.0	0	1	158313.87	0	2.0	Ainsworth	1.7455038677858734	1.653333333333333
1863.0	15726494.0	481.0	France	Male	44.0	9.0	175303.06	1	0	65500.53	1	1.0	Romani	1.0847445797690165	1.075
7851.0	15679663.0	488.0	France	Female	36.0	0.0	0.0	1	0	136675.22	0	2.0	Chiazagomekpere	1.791274678315193	1.9
9124.0	15679029.0	718.0	France	Male	33.0	7.0	102874.28	0	0	117841.06	0	1.0	Kung	1.4305431553713117	1.0
2341.0	15595728.0	523.0	Germany	Male	41.0	0.0	119276.31	0	0	122284.38	1	1.0	Thomas	1.4706699296516441	1.1452380952380954
5528.0	15689602.0	698.0	France	Male	38.0	2.0	130015.24	1	1	41595.3	0	1.0	Findlay	1.2784958430067155	1.125
6744.0	15616213.0	555.0	Germany	Female	51.0	9.0	138214.5	1	0	198715.27	1	1.0	Levy	1.4729682818283019	1.1233333333333333
4004.0	15626141.0	750.0	France	Female	26.0	1.0	151510.17	1	1	19921.72	0	2.0	Fedorov	1.222225629109141	1.64
1124.0	15596800.0	779.0	Germany	Male	33.0	1.0	158456.76	1	1	197000.92	1	1.0	Hill	1.3372937469271546	1.0574999999999999
8710.0	15713517.0	529.0	France	Male	39.0	6.0	102025.08	1	0	12351.01	0	2.0	Otitodilinna	1.3875047535086955	1.675
4050.0	15806184.0	618.0	Spain	Male	33.0	4.0	0.0	1	1	77550.18	0	2.0	Burns	1.744663244718048	1.925
7641.0	15572361.0	790.0	Germany	Female	34.0	2.0	164011.48	1	0	199420.41	0	1.0	Chill	1.4385917288051477	1.225
766.0	15812351.0	710.0	Spain	Female	27.0	2.0	135277.96	1	0	142200.15	0	1.0	Beluchi	1.347411249577345	1.1
2345.0	15642345.0	714.0	Germany	Female	49.0	4.0	93059.34	1	0	7571.51	1	1.0	Y?	1.54913290365503	1.025
4072.0	15732430.0	850.0	Spain	Female	54.0	4.0	120952.74	1	0	66963.15	0	1.0	H?	1.371150856379384	1.0
7217.0	15730287.0	679.0	France	Male	41.0	8.0	147726.98	1	0	172749.4	1	3.0	Ugonna	1.226661781390934	2.325
4217.0	15718852.0	794.0	France	Male	56.0	9.0	96951.21	1	1	71776.76	0	1.0	Uren	1.4013908624324642	1.05
7953.0	15622305.0	746.0	Germany	Female	33.0	2.0	107868.14	1	1	146192.4	0	2.0	Martin	1.606302347489749	1.9355555555555555
5971.0	15634295.0	470.0	France	Male	35.0	1.0	96473.59	0	0	5962.3	0	1.0	Wilson	1.397592848511367	1.1657142857142857
3351.0	15685628.0	670.0	Spain	Male	35.0	2.0	124268.64	0	1	84321.03	0	2.0	Calabresi	1.3285488522471163	1.4833333333333332
4696.0	15786739.0	669.0	France	Male	37.0	1.0	125529.55	1	1	162260.93	0	1.0	Clements	1.3400908622026666	1.0
3400.0	15633352.0	628.0	France	Female	31.0	6.0	175443.75	1	0	113167.17	1	1.0	Okwukwe	1.1260643006227833	1.1199999999999999
4082.0	15762821.0	721.0	Spain	Male	33.0	5.0	0.0	0	1	117626.9	0	2.0	Udinese	1.767222443335888	1.9272727272727272
9150.0	15814331.0	597.0	Germany	Female	43.0	7.0	119127.46	1	0	55809.92	0	2.0	Lung	1.5785727196244936	1.9030952380952382
1225.0	15628298.0	500.0	Spain	Female	47.0	8.0	128486.11	1	0	179227.12	0	1.0	Johnstone	1.3647757148336452	1.2333333333333332
6293.0	15713673.0	494.0	France	Female	33.0	1.0	137853.0	0	1	90273.85	0	1.0	T'ien	1.321295786442876	1.0583333333333333
3123.0	15575002.0	676.0	France	Male	29.0	4.0	140720.93	1	0	36221.18	0	1.0	Ferguson	1.2321549577706346	1.0
511.0	15568506.0	524.0	Germany	Female	31.0	10.0	67238.98	1	1	161811.23	0	2.0	Forbes	1.724265007030315	1.8
5795.0	15694125.0	669.0	France	Male	57.0	5.0	0.0	1	1	56875.76	0	2.0	McElhone	1.7193171757275643	2.0
8182.0	15566790.0	598.0	France	Male	28.0	8.0	129991.76	0	1	46041.08	0	2.0	McIntyre	1.2928939551664376	1.6333333333333335
9418.0	15656829.0	577.0	Spain	Female	33.0	6.0	0.0	1	0	57975.8	0	2.0	Hughes	1.7824235744021328	1.9
97.0	15738721.0	773.0	Spain	Male	41.0	9.0	102827.44	0	1	64595.25	0	1.0	Graham	1.3945939423438758	1.0833333333333333
6682.0	15736717.0	602.0	France	Male	31.0	7.0	155271.83	1	1	179446.31	0	1.0	Ma	1.2511603764493946	1.1476190476190475
1513.0	15586974.0	656.0	France	Male	39.0	10.0	0.0	1	1	98894.64	0	2.0	Pearce	1.7121450832592238	1.935
8792.0	15783276.0	725.0	France	Female	25.0	9.0	0.0	1	1	168607.74	0	2.0	Forbes	1.813549424837878	1.8199999999999998
120.0	15600781.0	699.0	Germany	Male	34.0	4.0	185173.81	1	0	120834.48	0	2.0	Wu	1.2909935864642148	1.6266666666666665
7792.0	15570299.0	584.0	Germany	Female	31.0	6.0	152622.34	1	0	99298.8	0	1.0	Martin	1.4482538630403934	1.0666666666666669
6518.0	15795246.0	628.0	Germany	Female	51.0	9.0	155903.82	1	1	71159.84	0	2.0	Kaeppel	1.4417731011174966	1.8916666666666664
34.0	15659428.0	520.0	Spain	Female	42.0	6.0	0.0	1	1	34410.55	0	2.0	Maggard	1.736863311493077	1.825
7888.0	15745433.0	716.0	Germany	Female	30.0	2.0	205770.78	0	0	65464.66	0	2.0	Conti	1.2921696069710793	1.85
6831.0	15669262.0	765.0	France	Male	43.0	9.0	157960.49	0	0	136602.8	0	2.0	Maslov	1.245276453921686	1.675
5422.0	15757661.0	589.0	France	Female	39.0	7.0	0.0	0	0	95985.64	0	2.0	Trevisano	1.7989146227163724	1.9
1069.0	15680303.0	594.0	France	Male	57.0	6.0	0.0	1	0	19376.56	1	1.0	Gibson	1.6441023974086928	1.35
1348.0	15668445.0	521.0	France	Male	37.0	2.0	0.0	1	1	86372.24	0	2.0	Mai	1.7118823599561637	1.8666666666666665
4748.0	15702380.0	663.0	Spain	Male	64.0	6.0	0.0	0	1	15876.52	0	2.0	De Luca	1.72833322334803	1.85
6006.0	15589323.0	636.0	France	Female	24.0	9.0	0.0	0	1	38830.72	0	2.0	Law	1.755663138389439	1.8
6040.0	15768887.0	597.0	Spain	Male	26.0	5.0	0.0	0	1	95159.13	0	2.0	Hsing	1.7673308892001633	1.8
3818.0	15724251.0	682.0	Germany	Female	29.0	6.0	101012.77	0	0	32589.89	1	1.0	Todd	1.5616354231946254	1.075
8447.0	15630511.0	691.0	France	Female	33.0	6.0	0.0	1	0	164074.89	0	2.0	Picot	1.8002083151198873	2.0
5270.0	15732281.0	680.0	Germany	Male	34.0	6.0	146422.22	1	0	67142.97	1	1.0	Ugoji	1.3775860397246729	1.075
6898.0	15650488.0	492.0	France	Female	48.0	6.0	127253.98	1	1	92144.09	1	1.0	Bromley	1.2820272086081548	1.35
5310.0	15778696.0	684.0	Spain	Female	36.0	5.0	174180.39	1	0	119830.08	0	1.0	Ikemefuna	1.2216794258377377	1.05
32.0	15706552.0	533.0	France	Male	36.0	7.0	85311.7	0	1	156731.91	0	1.0	Odinakachukwu	1.4678398167009568	1.1166666666666667
5675.0	15767598.0	540.0	Spain	Male	28.0	8.0	0.0	0	0	197588.32	0	2.0	Kent	1.8103035520609403	1.925
4387.0	15621520.0	783.0	Germany	Female	42.0	2.0	139707.28	1	0	2150.22	0	1.0	Tang	1.4523481951249875	1.1249999999999998
30.0	15656300.0	411.0	France	Male	29.0	0.0	59697.17	1	1	53483.21	0	2.0	Lucciano	1.4961517421925132	1.7
4203.0	15757588.0	526.0	France	Male	30.0	9.0	0.0	0	0	100995.68	0	2.0	Wright	1.7647405136963237	1.8476190476190475
7508.0	15642001.0	576.0	Germany	Male	44.0	9.0	119530.52	1	0	119056.68	1	1.0	Lorenzen	1.481532187604385	1.35
736.0	15784209.0	497.0	France	Male	47.0	6.0	0.0	1	1	90055.08	0	1.0	Tang	1.7268395320415997	1.1083333333333334
2068.0	15767794.0	744.0	France	Male	31.0	9.0	120718.28	1	1	58961.49	0	1.0	Browne	1.3191389787094452	1.1
107.0	15599195.0	582.0	Germany	Male	32.0	1.0	88938.62	1	1	10054.53	0	1.0	Stiger	1.5652590929585515	1.0666666666666667
9645.0	15728480.0	452.0	France	Female	35.0	8.0	0.0	1	1	149614.81	0	2.0	Iloerika	1.8025974822147168	1.975
8895.0	15631222.0	485.0	France	Female	39.0	2.0	75339.64	1	1	70665.16	0	1.0	Cattaneo	1.5079291276895743	1.365
8021.0	15669491.0	850.0	France	Female	46.0	2.0	157866.77	1	1	18986.12	0	1.0	Cruz	1.2169617925335041	1.025
2233.0	15671969.0	649.0	Spain	Male	36.0	8.0	0.0	1	0	161668.15	0	2.0	Pruneda	1.762452409594354	1.9
994.0	15782899.0	661.0	Spain	Female	28.0	7.0	95357.49	0	0	102297.15	0	1.0	Ginn	1.482889660105512	1.1
9413.0	15724648.0	725.0	France	Male	26.0	6.0	98684.15	0	0	133720.57	0	1.0	Chikezie	1.45556616420676	1.075
7059.0	15671769.0	624.0	France	Female	71.0	4.0	170252.05	1	1	73679.59	1	3.0	Zikoranachidimma	1.1323951082541928	2.2655555555555553
6790.0	15809847.0	668.0	France	Male	46.0	0.0	0.0	0	0	29388.02	0	2.0	Tan	1.7481783489311806	1.8111111111111111
361.0	15803716.0	706.0	Spain	Male	28.0	3.0	0.0	0	1	181543.67	0	2.0	West	1.7801294502236686	1.6785714285714284
305.0	15812191.0	553.0	France	Male	33.0	4.0	118082.89	0	0	94440.45	0	1.0	Brennan	1.3595147391056266	1.225
2628.0	15707144.0	571.0	Germany	Male	25.0	6.0	82506.72	1	0	167705.07	0	2.0	Onyeorulu	1.6706726168081703	1.9
8966.0	15811032.0	477.0	Germany	Female	58.0	8.0	145984.92	1	1	24564.7	0	1.0	Gambrell	1.4682315083246793	1.3297619047619047
4514.0	15722212.0	696.0	France	Female	41.0	8.0	0.0	0	0	28276.83	0	2.0	Edmondstone	1.7709344031537837	1.95
5911.0	15700749.0	481.0	France	Female	39.0	6.0	0.0	1	1	24677.54	0	1.0	Powell	1.7466802265908674	1.1166666666666667
8314.0	15750121.0	639.0	France	Male	38.0	3.0	0.0	1	0	42862.82	0	1.0	Tung	1.73858272380501	1.3333333333333333
3101.0	15735549.0	810.0	Germany	Male	35.0	3.0	96814.46	1	1	120511.03	0	2.0	Lori	1.5999080667568688	1.8
5704.0	15621063.0	516.0	France	Female	42.0	8.0	56228.25	1	0	46857.52	0	1.0	Gibbons	1.5669245063308532	1.175
3899.0	15750156.0	662.0	Germany	Male	59.0	2.0	104568.41	1	0	8059.44	1	1.0	Yu	1.491836088299701	1.025
5441.0	15807269.0	690.0	Germany	Male	43.0	2.0	166522.78	0	0	119644.59	1	1.0	Milanesi	1.347211066520697	1.4
7931.0	15606436.0	500.0	Spain	Male	38.0	7.0	0.0	0	0	192013.23	0	2.0	Bergamaschi	1.7951187078616897	1.8383333333333334
622.0	15603134.0	656.0	Spain	Female	40.0	10.0	167878.5	0	1	151887.16	0	1.0	Pai	1.2261880409706407	1.1166666666666667
7236.0	15629750.0	697.0	France	Male	35.0	5.0	133087.76	1	0	64771.61	0	1.0	Artyomova	1.2856890500008535	1.1
2499.0	15648735.0	718.0	France	Male	37.0	8.0	0.0	1	1	142.81	0	2.0	Cashin	1.6895689709796322	1.8166666666666664
714.0	15716164.0	501.0	France	Female	41.0	3.0	144260.5	1	0	172114.67	0	1.0	Nicholls	1.3056945371434612	1.31
8404.0	15707219.0	844.0	France	Female	28.0	4.0	0.0	0	1	123318.37	0	2.0	Hopman	1.7994331738011617	1.9
2856.0	15693203.0	710.0	Spain	Female	75.0	5.0	0.0	1	1	9376.89	0	2.0	Powell	1.7379800609606173	1.85
4270.0	15580252.0	748.0	France	Male	44.0	4.0	112610.77	0	1	2048.55	0	1.0	Waters	1.3225682901058478	1.0866666666666667
2909.0	15570769.0	494.0	France	Male	69.0	9.0	93320.8	1	1	24489.44	0	1.0	Kibble	1.3766949967508253	1.1392857142857142
8081.0	15668775.0	757.0	France	Male	47.0	3.0	130747.1	1	0	143829.54	0	1.0	Pendred	1.3233873491442818	1.2
4517.0	15812210.0	497.0	Germany	Female	32.0	8.0	111537.23	1	1	9497.99	1	4.0	Yashina	1.5091415368719039	3.3075757575757576
1262.0	15794870.0	744.0	Germany	Male	38.0	6.0	73023.17	1	0	78770.86	0	2.0	Sal	1.6790067291737834	1.8047619047619048
3161.0	15672821.0	591.0	France	Male	28.0	5.0	0.0	1	1	48606.92	0	2.0	Owen	1.7084935339778407	1.8666666666666667
971.0	15805955.0	638.0	France	Female	48.0	10.0	138333.03	1	1	47679.14	0	1.0	L?	1.291768341945142	1.0699999999999998
